,utc,handle,text,url,exists,est
793,2017-04-01 15:35:12,realDonaldTrump,RT @DanScavino: .@POTUS @realDonaldTrump signs executive orders on trade that will set the stage for revival in American manufacturing. #Am…,https://twitter.com/realDonaldTrump/status/848197060625145856,False,"Apr 1, 2017 11:35 AM"
475,2017-03-30 21:18:57,realDonaldTrump,"If @RepMarkMeadows, @Jim_Jordan and Raul_Labrador would get on board we would have both great healthcare and massive tax cuts &amp; reform.",https://twitter.com/realDonaldTrump/status/847558790358728705,False,"Mar 30, 2017 5:18 PM"
730,2017-03-21 18:24:17,POTUS,"Honored to sign S.442 today. With this legislation, we support @NASA's scientists, engineers, and astronauts in the… https://t.co/rLZjU35BCV",https://twitter.com/POTUS/status/844253342670970881,False,"Mar 21, 2017 2:24 PM"
636,2017-03-17 01:41:12,POTUS,RT @DanScavino: Join @POTUS @Cabinet on Twitter! @SecPriceMD @EPAScottPruitt @SecElaineChao @SecretaryZinke @SecretaryCarson @SecretaryPerr…,https://twitter.com/POTUS/status/842551360822415361,False,"Mar 16, 2017 9:41 PM"
506,2017-03-06 21:21:32,realDonaldTrump,"Buy American &amp; hire American are the principals at the core of my agenda, which is: JOBS, JOBS, JOBS! Thank you @exxonmobil.",https://twitter.com/realDonaldTrump/status/838862131852369922,False,"Mar 6, 2017 4:21 PM"
896,2017-03-03 20:49:53,realDonaldTrump,"I hearby demand a second investigation, after Schumer, of Pelosi for her close ties to Russia, and lying about it. https://t.co/qCDljfF3wN",https://twitter.com/realDonaldTrump/status/837767004236955649,False,"Mar 3, 2017 3:49 PM"
700,2017-03-03 20:47:30,realDonaldTrump,"I hear by demand a second investigation, after Schumer, of Pelosi for her close ties to Russia, and lying about it. https://t.co/qCDljfF3wN",https://twitter.com/realDonaldTrump/status/837766402937393155,False,"Mar 3, 2017 3:47 PM"
509,2017-02-24 18:47:48,POTUS,RT @VP: Pleased to join @SecondLady welcoming nation's Governors to VP's Residence. @POTUS Trump believes the states play a critical role t…,https://twitter.com/POTUS/status/835199565477339136,False,"Feb 24, 2017 1:47 PM"
411,2017-02-20 19:33:35,realDonaldTrump,Meeting with Generals at Mar-a-Lago in Florida. Very interesting!,https://twitter.com/realDonaldTrump/status/833761537525444608,False,"Feb 20, 2017 2:33 PM"
228,2017-02-18 20:26:31,realDonaldTrump,"Getting ready to leave for Melbourne, Florida. See you all soon!",https://twitter.com/realDonaldTrump/status/833050081641234435,False,"Feb 18, 2017 3:26 PM"
539,2017-02-17 21:32:29,realDonaldTrump,"The FAKE NEWS media (failing @nytimes, @CNN, @NBCNews and many more)    is not my enemy, it is the enemy of the American people. SICK!",https://twitter.com/realDonaldTrump/status/832704292993847296,False,"Feb 17, 2017 4:32 PM"
443,2017-02-11 23:07:52,realDonaldTrump,"Playef golf today with Prime Minister Abe of Japan and @TheBig_Easy, Ernie Els, and had a great time. Japan is very well represented!",https://twitter.com/realDonaldTrump/status/830553970225590277,False,"Feb 11, 2017 6:07 PM"
316,2017-02-07 12:04:01,realDonaldTrump,"I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1in terror, no problem!",https://twitter.com/realDonaldTrump/status/828937357147635713,False,"Feb 7, 2017 7:04 AM"
458,2017-02-06 16:27:45,realDonaldTrump,Will be interviewed on @oreillyfactor tonight at 8:00 P.M.,https://twitter.com/realDonaldTrump/status/828641340313460736,False,"Feb 6, 2017 11:27 AM"
255,2017-02-05 20:47:25,realDonaldTrump,I will be interviewed by @oreillyfactor at 4:00 P.M. (prior to the #SuperBowl Pre-game Show) on Fox Network. Enjoy!,https://twitter.com/realDonaldTrump/status/828344301381939200,False,"Feb 5, 2017 3:47 PM"
254,2017-01-28 22:50:06,realDonaldTrump,I will be interviewed by @TheBrodyFile on @CBNNews tonight at 11pm. Enjoy!,https://twitter.com/realDonaldTrump/status/825476070946328584,False,"Jan 28, 2017 5:50 PM"
62,2017-01-28 03:38:39,POTUS,RT @DanScavino: Secretary Mattis with @POTUS @realDonaldTrump and @VP Michael Pence - thanking our true heroes upon their departure from th…,https://twitter.com/POTUS/status/825186296960262144,False,"Jan 27, 2017 10:38 PM"
128,2017-01-26 19:15:52,POTUS,"RT @realDonaldTrump: Spoke at the Congressional @GOP Retreat in Philadelphia, PA. this afternoon w/ @VP, @SenMajLeader, @SpeakerRyan. Thank…",https://twitter.com/POTUS/status/824697381862199302,False,"Jan 26, 2017 2:15 PM"
129,2017-01-26 19:15:44,realDonaldTrump,"Spoke at the Congressional @GOP Retreat in Philadelphia, PA. this afternoon w/ @VP, @SenMajLeader, @SpeakerRyan. Th… https://t.co/s4sTbSyBSR",https://twitter.com/realDonaldTrump/status/824697349335293952,False,"Jan 26, 2017 2:15 PM"
761,2017-01-25 02:34:23,realDonaldTrump,"Big day planned on national security for tomorrow! Amoung many other things, we will build the wall.",https://twitter.com/realDonaldTrump/status/824082962048319489,False,"Jan 24, 2017 9:34 PM"
64,2017-01-21 17:09:54,realDonaldTrump,"I am honored to serve you, the great American People, as your 45th President of the United States!",http://twitter.com/realDonaldTrump/822853741040771072,False,"Jan 21, 2017 12:09 PM"
63,2017-01-21 16:57:59,realDonaldTrump,"I am honered to serve you, the great American People, as your 45th President of the United States!",http://twitter.com/realDonaldTrump/822850742373453824,False,"Jan 21, 2017 11:57 AM"
