created_date,week,sentiment.compound,text,id
2017-04-26 22:27:29,17,0.9477,"A great great honor to welcome &amp; recognize the National Teacher of the Year, as well as the Teacher of the Year fro… https://t.co/pUGl7RDoVX",857360510534209536
2017-04-28 12:15:59,17,0.807,"We are making tremendous progress with the V. A. There has never been so much done so quickly, and we have just started. We love our VETS!",857931397562085376
2017-04-27 18:59:31,17,0.7783,.@FLOTUS Melania and I were honored to welcome Argentina President @MauricioMacri and First Lady Juliana Awada to t… https://t.co/gR3EPznu1H,857670562478518273
2017-04-26 14:53:26,17,0.6932,"HAPPY BIRTHDAY to our @FLOTUS, Melania! 
https://t.co/rYYp51mxDQ https://t.co/np7KYHglSv",857246245672366081
2017-04-27 14:39:04,17,0.6597,Democrats used to support border security — now they want illegals to pour through our borders.,857605018266062848
2017-04-27 14:37:30,17,0.6476,I promise to rebuild our military and secure our border. Democrats want to shut down the government. Politics!,857604623531749376
2017-04-25 11:23:08,17,0.636,Proud of @IvankaTrump for her leadership on these important issues. Looking forward to hearing her speak at the W20! https://t.co/e6Uajrm8zp,856830933709750272
2017-04-23 14:07:52,17,0.5267,"Thank you Lake Worth, Florida. @foxandfriends",856147612952612864
2017-04-23 19:55:04,17,0.5106,...popular vote. ABC News/Washington Post Poll (wrong big on election) said almost all stand by their vote on me &amp; 53% said strong leader.,856234989591121922
2017-04-25 12:36:28,17,0.4685,"Don't let the fake media tell you that I have changed my position on the WALL. It will get built and help stop drugs, human trafficking etc.",856849388026687492
2017-04-23 14:05:07,17,0.4576,Very interesting election currently taking place in France.,856146924705120256
2017-04-27 22:43:19,17,0.4215,"Today, I signed an Executive Order on Improving Accountability and Whistleblower Protection at the @DeptVetAffairs:… https://t.co/UQ6VNCyhlj",857726884045496325
2017-04-27 14:38:14,17,0.4215,Democrats jeopardizing the safety of our troops to bail out their donors from insurance companies. It is time to put #AmericaFirst🇺🇸,857604808676708353
2017-04-25 17:51:03,17,0.4215,"Remarks at the United States Holocaust Memorial Museum's National Days of Remembrance. 
Full remarks:… https://t.co/BJbI6ZtGo7",856928555179143168
