,text,text,text,text,text,text
source,Media Studio,Twitter Ads,Twitter Web Client,Twitter for Android,Twitter for iPad,Twitter for iPhone
hour,,,,,,
0,3.0,,3.0,,,23.0
1,,,,,1.0,10.0
2,,1.0,1.0,,,12.0
3,1.0,,1.0,,,8.0
4,,,3.0,,1.0,6.0
5,1.0,,4.0,1.0,,68.0
6,,,,34.0,,358.0
7,1.0,,,35.0,,478.0
8,1.0,,,37.0,,473.0
9,,,1.0,8.0,1.0,351.0
10,3.0,,4.0,3.0,1.0,205.0
11,8.0,,,2.0,,118.0
12,16.0,,,1.0,2.0,135.0
13,12.0,2.0,1.0,1.0,6.0,144.0
14,10.0,3.0,4.0,1.0,8.0,117.0
15,16.0,4.0,1.0,6.0,3.0,185.0
16,10.0,6.0,1.0,8.0,1.0,202.0
17,18.0,7.0,1.0,3.0,6.0,178.0
18,16.0,4.0,3.0,8.0,1.0,224.0
19,8.0,,6.0,7.0,2.0,155.0
20,8.0,3.0,5.0,1.0,,151.0
21,9.0,2.0,,12.0,2.0,158.0
22,6.0,1.0,4.0,6.0,,127.0
23,4.0,,1.0,,1.0,88.0
