,,text,text,text,text,text,text
source,,Media Studio,Twitter Ads,Twitter Web Client,Twitter for Android,Twitter for iPad,Twitter for iPhone
year,week,,,,,,
2017,3,0,0,0,2.0,0,12.0
2017,4,0,0,1.0,22.0,0,17.0
2017,5,0,0,0,39.0,0,6.0
2017,6,0,0,0,33.0,0,15.0
2017,7,0,0,0,28.0,0,19.0
2017,8,0,0,0,19.0,0,5.0
2017,9,0,0,0,20.0,0,11.0
2017,10,0,0,0,9.0,0,20.0
2017,11,0,0,0,0,0,33.0
2017,12,0,0,0,2.0,0,26.0
2017,13,1.0,2.0,0,0,0,38.0
2017,14,0,2.0,0,0,0,22.0
2017,15,0,1.0,0,0,0,22.0
2017,16,0,3.0,0,0,0,40.0
2017,17,0,4.0,0,0,0,45.0
2017,18,0,4.0,0,0,0,32.0
2017,19,0,3.0,0,0,0,45.0
2017,20,0,3.0,0,0,0,15.0
2017,21,0,1.0,0,0,0,25.0
2017,22,0,3.0,0,0,0,48.0
2017,23,0,5.0,3.0,0,0,27.0
2017,24,2.0,1.0,2.0,0,0,38.0
2017,25,3.0,0,0,0,0,58.0
2017,26,3.0,1.0,2.0,0,0,59.0
2017,27,4.0,0,1.0,0,0,35.0
2017,28,3.0,0,1.0,0,0,62.0
2017,29,6.0,0,0,0,0,39.0
2017,30,10.0,0,0,0,0,68.0
2017,31,7.0,0,0,0,0,40.0
2017,32,5.0,0,0,0,0,58.0
2017,33,2.0,0,0,0,0,66.0
2017,34,10.0,0,0,0,0,53.0
2017,35,2.0,0,0,0,0,40.0
2017,36,2.0,0,0,0,0,49.0
2017,37,4.0,0,0,0,0,47.0
2017,38,8.0,0,0,0,0,80.0
2017,39,9.0,0,0,0,0,96.0
2017,40,1.0,0,0,0,0,51.0
2017,41,7.0,0,0,0,0,72.0
2017,42,9.0,0,0,0,0,58.0
2017,43,3.0,0,1.0,0,9.0,54.0
2017,44,2.0,0,0,0,8.0,69.0
2017,45,3.0,0,19.0,0,1.0,30.0
2017,46,0,0,11.0,0,0,42.0
2017,47,1.0,0,0,0,1.0,42.0
2017,48,2.0,0,0,0,0,68.0
2017,49,0,0,0,0,0,56.0
2017,50,2.0,0,0,0,0,32.0
2017,51,4.0,0,0,0,0,44.0
2017,52,0,0,0,0,1.0,38.0
2017,53,1.0,0,0,0,0,8.0
2018,1,1.0,0,1.0,0,0,38.0
2018,2,1.0,0,0,0,0,62.0
2018,3,1.0,0,0,0,0,37.0
2018,4,0,0,0,0,3.0,16.0
2018,5,4.0,0,0,0,2.0,35.0
2018,6,2.0,0,0,0,4.0,25.0
2018,7,2.0,0,0,0,0,64.0
2018,8,2.0,0,0,0,0,45.0
2018,9,0,0,0,0,0,42.0
2018,10,0,0,0,0,0,44.0
2018,11,1.0,0,0,0,0,30.0
2018,12,0,0,0,0,1.0,30.0
2018,13,3.0,0,0,0,0,46.0
2018,14,2.0,0,2.0,0,0,46.0
2018,15,0,0,0,0,0,93.0
2018,16,2.0,0,0,0,0,50.0
2018,17,1.0,0,0,0,1.0,48.0
2018,18,0,0,0,0,0,39.0
2018,19,0,0,0,0,0,57.0
2018,20,3.0,0,0,0,1.0,73.0
2018,21,1.0,0,0,0,0,71.0
2018,22,2.0,0,0,0,0,90.0
2018,23,0,0,0,0,0,72.0
2018,24,2.0,0,0,0,0,109.0
2018,25,1.0,0,0,0,0,87.0
2018,26,0,0,0,0,0,53.0
2018,27,1.0,0,0,0,0,73.0
2018,28,0,0,0,0,1.0,77.0
2018,29,2.0,0,0,0,0,78.0
2018,30,1.0,0,0,0,0,113.0
2018,31,0,0,0,0,0,60.0
2018,32,0,0,0,0,3.0,100.0
2018,33,1.0,0,0,0,0,79.0
2018,34,1.0,0,1.0,0,0,77.0
