,text,text,text,text,text,text
source,Media Studio,Twitter Ads,Twitter Web Client,Twitter for Android,Twitter for iPad,Twitter for iPhone
hour,,,,,,
0,1.0,0.0,1.0,0.0,0.0,6.0
1,0.0,0.0,0.0,0.0,0.0,2.0
2,0.0,0.0,1.0,0.0,0.0,4.0
3,1.0,0.0,1.0,0.0,0.0,3.0
4,0.0,0.0,1.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,0.0,16.0
6,0.0,0.0,0.0,7.0,0.0,66.0
7,1.0,0.0,0.0,3.0,0.0,91.0
8,1.0,0.0,0.0,3.0,0.0,90.0
9,0.0,0.0,0.0,3.0,0.0,63.0
10,1.0,0.0,1.0,1.0,0.0,37.0
11,1.0,0.0,0.0,0.0,0.0,19.0
12,7.0,0.0,0.0,0.0,0.0,31.0
13,2.0,0.0,0.0,0.0,3.0,30.0
14,3.0,0.0,2.0,0.0,0.0,30.0
15,3.0,1.0,1.0,0.0,0.0,49.0
16,5.0,1.0,0.0,1.0,0.0,49.0
17,2.0,3.0,1.0,1.0,2.0,40.0
18,4.0,1.0,1.0,1.0,0.0,65.0
19,2.0,0.0,1.0,0.0,0.0,34.0
20,2.0,1.0,2.0,0.0,0.0,36.0
21,3.0,1.0,0.0,0.0,0.0,35.0
22,1.0,1.0,0.0,1.0,0.0,24.0
23,2.0,0.0,0.0,0.0,1.0,29.0
