,text,text,text,text
source,Media Studio,Twitter Web Client,Twitter for Android,Twitter for iPhone
hour,,,,
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,1.0,1.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,1.0,7.0
7,0.0,0.0,1.0,5.0
8,1.0,0.0,0.0,9.0
9,0.0,0.0,2.0,6.0
10,0.0,0.0,0.0,3.0
11,0.0,0.0,0.0,2.0
12,0.0,0.0,0.0,2.0
13,0.0,0.0,0.0,2.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,7.0
16,0.0,0.0,0.0,3.0
17,0.0,0.0,1.0,3.0
18,0.0,0.0,0.0,5.0
19,0.0,0.0,0.0,4.0
20,0.0,0.0,0.0,1.0
21,0.0,0.0,0.0,4.0
22,0.0,0.0,0.0,1.0
23,1.0,0.0,0.0,2.0
