,,text,text,text,text,text,text
source,,Media Studio,Twitter Ads,Twitter Web Client,Twitter for Android,Twitter for iPad,Twitter for iPhone
year,month,,,,,,
2017,01,,,,4.0,,
2017,02,,,,19.0,,1.0
2017,03,,,,1.0,,6.0
2017,04,,,,,,9.0
2017,05,,,,,,19.0
2017,06,,,,,,14.0
2017,07,,,,,,22.0
2017,08,,,,,,18.0
2017,09,1.0,,,,,11.0
2017,10,,,,,,29.0
2017,11,,,2.0,,,9.0
2017,12,,,,,,23.0
2018,01,,,,,,7.0
2018,02,,,,,,9.0
2018,03,,,,,,11.0
2018,04,,,,,,20.0
2018,05,,,,,,10.0
2018,06,,,,,,25.0
2018,07,,,,,,30.0
2018,08,,,,,,36.0
