,,text,text,text,text,text,text
source,,Media Studio,Twitter Ads,Twitter Web Client,Twitter for Android,Twitter for iPad,Twitter for iPhone
year,month,,,,,,
2017,01,,,,,,2.0
2017,02,,,,,,1.0
2017,03,,,,,,6.0
2017,04,,,,,,
2017,05,,,,,,
2017,06,,,,,,6.0
2017,07,,,,,,5.0
2017,08,1.0,,,,,8.0
2017,09,,,,,,8.0
2017,10,,,,,,4.0
2017,11,,,,,,3.0
2017,12,,,,,,3.0
2018,01,,,,,,3.0
2018,02,,,,,1.0,2.0
2018,03,,,,,,12.0
2018,04,,,,,,6.0
2018,05,,,,,,3.0
2018,06,,,,,,11.0
2018,07,,,,,,3.0
2018,08,1.0,,,,,3.0
