,,text,text,text,text,text,text
source,,Media Studio,Twitter Ads,Twitter Web Client,Twitter for Android,Twitter for iPad,Twitter for iPhone
year,month,,,,,,
2017,01,,,,,,
2017,02,,,,6.0,,1.0
2017,03,,,,4.0,,12.0
2017,04,,,,,,6.0
2017,05,,,,,,12.0
2017,06,,,,,,15.0
2017,07,,,,,,14.0
2017,08,,,,,,5.0
2017,09,,,,,,1.0
2017,10,,,,,,8.0
2017,11,,,3.0,,,2.0
2017,12,,,,,,4.0
2018,01,,,,,,5.0
2018,02,,,,,,23.0
2018,03,,,,,,9.0
2018,04,,,,,,12.0
2018,05,,,,,,25.0
2018,06,,,,,,14.0
2018,07,,,,,,38.0
2018,08,,,,,,26.0
