,,text,text,text,text,text,text
source,,Media Studio,Twitter Ads,Twitter Web Client,Twitter for Android,Twitter for iPad,Twitter for iPhone
year,week,,,,,,
2017,3,,,,,,
2017,4,,,,2.0,,
2017,5,,,,1.0,,
2017,6,,,,2.0,,
2017,7,,,,1.0,,
2017,8,,,,,,
2017,9,,,,7.0,,
2017,10,,,,1.0,,
2017,11,,,,,,
2017,12,,,,,,1.0
2017,13,,,,,,2.0
2017,14,,,,,,
2017,15,,,,,,
2017,16,,,,,,4.0
2017,17,,,,,,2.0
2017,18,,,,,,1.0
2017,19,,,,,,3.0
2017,20,,,,,,
2017,21,,,,,,
2017,22,,,,,,1.0
2017,23,,,,,,
2017,24,,,,,,1.0
2017,25,,,,,,9.0
2017,26,,,,,,2.0
2017,27,,,,,,
2017,28,,,,,,5.0
2017,29,,,,,,2.0
2017,30,,,,,,5.0
2017,31,,,,,,1.0
2017,32,,,,,,1.0
2017,33,,,,,,1.0
2017,34,,,,,,
2017,35,,,,,,
2017,36,,,,,,
2017,37,,,,,,1.0
2017,38,,,,,,1.0
2017,39,,,,,,3.0
2017,40,,,,,,1.0
2017,41,,,,,,4.0
2017,42,,,,,,5.0
2017,43,,,,,,1.0
2017,44,,,,,,
2017,45,,,,,,
2017,46,,,,,,
2017,47,,,,,,
2017,48,,,,,,3.0
2017,49,,,,,,1.0
2017,50,,,,,,2.0
2017,51,,,,,,
2017,52,,,,,,
2017,53,,,,,,2.0
2018,1,,,,,,2.0
2018,2,,,,,,5.0
2018,3,,,,,,
2018,4,,,,,,1.0
2018,5,,,,,,4.0
2018,6,,,,,,4.0
2018,7,,,,,,9.0
2018,8,,,,,,1.0
2018,9,,,,,,1.0
2018,10,,,,,,1.0
2018,11,,,,,,4.0
2018,12,,,,,,1.0
2018,13,,,,,,
2018,14,,,,,,1.0
2018,15,,,,,,2.0
2018,16,,,,,,1.0
2018,17,,,,,,
2018,18,,,,,,3.0
2018,19,,,,,,2.0
2018,20,,,,,,2.0
2018,21,,,,,,3.0
2018,22,,,,,,3.0
2018,23,,,,,,3.0
2018,24,,,,,,4.0
2018,25,,,,,,4.0
2018,26,,,,,,2.0
2018,27,,,,,,8.0
2018,28,,,,,,6.0
2018,29,,,,,,2.0
2018,30,,,,,,8.0
2018,31,,,,,,2.0
2018,32,,,,,,
