,,text,text,text,text,text,text
source,,Media Studio,Twitter Ads,Twitter Web Client,Twitter for Android,Twitter for iPad,Twitter for iPhone
year,week,,,,,,
2017,3,,,,,,
2017,4,,,,2.0,,
2017,5,,,,4.0,,
2017,6,,,,4.0,,1.0
2017,7,,,,10.0,,
2017,8,,,,2.0,,
2017,9,,,,1.0,,
2017,10,,,,1.0,,
2017,11,,,,,,2.0
2017,12,,,,,,3.0
2017,13,,,,,,3.0
2017,14,,,,,,1.0
2017,15,,,,,,
2017,16,,,,,,2.0
2017,17,,,,,,4.0
2017,18,,,,,,3.0
2017,19,,,,,,8.0
2017,20,,,,,,
2017,21,,,,,,
2017,22,,,,,,8.0
2017,23,,,,,,2.0
2017,24,,,,,,4.0
2017,25,,,,,,1.0
2017,26,,,,,,11.0
2017,27,,,,,,4.0
2017,28,,,,,,3.0
2017,29,,,,,,6.0
2017,30,,,,,,5.0
2017,31,,,,,,2.0
2017,32,,,,,,6.0
2017,33,,,,,,3.0
2017,34,,,,,,7.0
2017,35,,,,,,
2017,36,,,,,,
2017,37,,,,,,1.0
2017,38,,,,,,1.0
2017,39,1.0,,,,,9.0
2017,40,,,,,,8.0
2017,41,,,,,,8.0
2017,42,,,,,,7.0
2017,43,,,,,,3.0
2017,44,,,,,,4.0
2017,45,,,,,,
2017,46,,,2.0,,,1.0
2017,47,,,,,,2.0
2017,48,,,,,,6.0
2017,49,,,,,,6.0
2017,50,,,,,,5.0
2017,51,,,,,,6.0
2017,52,,,,,,4.0
2017,53,,,,,,1.0
2018,1,,,,,,1.0
2018,2,,,,,,4.0
2018,3,,,,,,2.0
2018,4,,,,,,
2018,5,,,,,,
2018,6,,,,,,3.0
2018,7,,,,,,6.0
2018,8,,,,,,
2018,9,,,,,,2.0
2018,10,,,,,,3.0
2018,11,,,,,,3.0
2018,12,,,,,,3.0
2018,13,,,,,,4.0
2018,14,,,,,,4.0
2018,15,,,,,,7.0
2018,16,,,,,,2.0
2018,17,,,,,,4.0
2018,18,,,,,,3.0
2018,19,,,,,,5.0
2018,20,,,,,,
2018,21,,,,,,4.0
2018,22,,,,,,6.0
2018,23,,,,,,5.0
2018,24,,,,,,10.0
2018,25,,,,,,1.0
2018,26,,,,,,4.0
2018,27,,,,,,3.0
2018,28,,,,,,11.0
2018,29,,,,,,8.0
2018,30,,,,,,6.0
2018,31,,,,,,6.0
2018,32,,,,,,8.0
2018,33,,,,,,6.0
2018,34,,,,,,14.0
