,text,text,text
source,Twitter Web Client,Twitter for Android,Twitter for iPhone
year_week,,,
2017-05,,1.0,
2017-06,,1.0,1.0
2017-11,,,1.0
2017-14,,,1.0
2017-16,,,1.0
2017-17,,,1.0
2017-24,1.0,,2.0
2017-28,,,1.0
2017-31,,,1.0
2017-32,,,2.0
2017-35,,,1.0
2017-36,,,1.0
2017-38,,,1.0
2017-39,,,1.0
2017-40,,,1.0
2017-41,,,1.0
2017-42,,,1.0
2017-43,,,1.0
2017-44,,,2.0
2017-48,,,4.0
2017-51,,,2.0
2017-52,,,1.0
2018-02,,,1.0
2018-07,,,1.0
2018-08,,,1.0
2018-15,,,4.0
2018-21,,,3.0
2018-25,,,3.0
2018-28,,,1.0
2018-30,,,1.0
