,,text,text,text,text,text,text
source,,Media Studio,Twitter Ads,Twitter Web Client,Twitter for Android,Twitter for iPad,Twitter for iPhone
year,week,,,,,,
2017,3,,,,,,
2017,4,,,,,,
2017,5,,,,,,
2017,6,,,,,,
2017,7,,,,,,
2017,8,,,,,,
2017,9,,,,,,
2017,10,,,,,,
2017,11,,,,,,
2017,12,,,,,,
2017,13,,,,,,
2017,14,,,,,,1.0
2017,15,,1.0,,,,1.0
2017,16,,,,,,
2017,17,,,,,,
2017,18,,,,,,
2017,19,,,,,,
2017,20,,,,,,
2017,21,,,,,,
2017,22,,,,,,
2017,23,,,,,,3.0
2017,24,,,,,,1.0
2017,25,,,,,,1.0
2017,26,,,,,,
2017,27,,,,,,
2017,28,,,,,,
2017,29,,,,,,
2017,30,,,,,,
2017,31,,,,,,
2017,32,,,,,,
2017,33,,,,,,
2017,34,,,,,,
2017,35,,,,,,
2017,36,,,,,,
2017,37,,,,,,
2017,38,,,,,,
2017,39,,,,,,
2017,40,,,,,,
2017,41,,,,,,1.0
2017,42,,,,,,3.0
2017,43,,,,,,1.0
2017,44,,,,,,4.0
2017,45,,,,,,
2017,46,,,,,,
2017,47,,,,,,2.0
2017,48,,,,,,2.0
2017,49,,,,,,3.0
2017,50,,,,,,
2017,51,,,,,,1.0
2017,52,,,,,,
2017,53,,,,,,
2018,1,,,,,,
2018,2,,,,,,
2018,3,,,,,,
2018,4,,,,,,1.0
2018,5,,,,,,
2018,6,,,,,,
2018,7,,,,,,1.0
2018,8,,,,,,3.0
2018,9,,,,,,
2018,10,,,,,,1.0
2018,11,,,,,,3.0
2018,12,,,,,,1.0
2018,13,1.0,,,,,4.0
2018,14,,,,,,
2018,15,,,,,,
2018,16,,,,,,
2018,17,,,,,,3.0
2018,18,,,,,,1.0
2018,19,,,,,,
2018,20,,,,,,3.0
2018,21,,,,,,4.0
2018,22,,,,,,4.0
2018,23,,,,,,
2018,24,,,,,,1.0
2018,25,,,,,,4.0
2018,26,,,,,,7.0
2018,27,,,,,,4.0
2018,28,,,,,,
2018,29,,,,,,2.0
2018,30,,,,,,1.0
2018,31,,,,,,1.0
2018,32,,,,,,2.0
