,,text,text,text,text,text,text
source,,Media Studio,Twitter Ads,Twitter Web Client,Twitter for Android,Twitter for iPad,Twitter for iPhone
year,week,,,,,,
2017,3,,,,,,1.0
2017,4,,,,,,1.0
2017,5,,,,,,
2017,6,,,,,,
2017,7,,,,,,
2017,8,,,,,,
2017,9,,,,,,1.0
2017,10,,,,,,2.0
2017,11,,,,,,1.0
2017,12,,,,,,2.0
2017,13,,,,,,1.0
2017,14,,,,,,
2017,15,,,,,,
2017,16,,,,,,
2017,17,,,,,,
2017,18,,,,,,
2017,19,,,,,,
2017,20,,,,,,
2017,21,,,,,,
2017,22,,,,,,1.0
2017,23,,,,,,
2017,24,,,,,,3.0
2017,25,,,,,,1.0
2017,26,,,,,,1.0
2017,27,,,,,,1.0
2017,28,,,,,,2.0
2017,29,,,,,,1.0
2017,30,,,,,,1.0
2017,31,,,,,,3.0
2017,32,,,,,,
2017,33,1.0,,,,,2.0
2017,34,,,,,,2.0
2017,35,,,,,,1.0
2017,36,,,,,,
2017,37,,,,,,
2017,38,,,,,,3.0
2017,39,,,,,,5.0
2017,40,,,,,,
2017,41,,,,,,1.0
2017,42,,,,,,3.0
2017,43,,,,,,
2017,44,,,,,,
2017,45,,,,,,
2017,46,,,,,,1.0
2017,47,,,,,,1.0
2017,48,,,,,,1.0
2017,49,,,,,,2.0
2017,50,,,,,,1.0
2017,51,,,,,,
2017,52,,,,,,
2017,53,,,,,,
2018,1,,,,,,1.0
2018,2,,,,,,1.0
2018,3,,,,,,1.0
2018,4,,,,,1.0,
2018,5,,,,,,
2018,6,,,,,,2.0
2018,7,,,,,,
2018,8,,,,,,1.0
2018,9,,,,,,6.0
2018,10,,,,,,2.0
2018,11,,,,,,1.0
2018,12,,,,,,2.0
2018,13,,,,,,1.0
2018,14,,,,,,
2018,15,,,,,,3.0
2018,16,,,,,,2.0
2018,17,,,,,,
2018,18,,,,,,1.0
2018,19,,,,,,2.0
2018,20,,,,,,
2018,21,,,,,,
2018,22,,,,,,
2018,23,,,,,,2.0
2018,24,,,,,,6.0
2018,25,,,,,,3.0
2018,26,,,,,,1.0
2018,27,,,,,,1.0
2018,28,,,,,,
2018,29,,,,,,1.0
2018,30,,,,,,
2018,31,,,,,,1.0
2018,32,,,,,,
