,text,text,text
source,Twitter Web Client,Twitter for Android,Twitter for iPhone
year_week,,,
2017-06,,1.0,1.0
2017-07,,4.0,
2017-09,,3.0,4.0
2017-10,,2.0,
2017-12,,,4.0
2017-13,,,7.0
2017-14,,,1.0
2017-15,,,1.0
2017-17,,,1.0
2017-18,,,1.0
2017-19,,,6.0
2017-20,,,2.0
2017-22,,,3.0
2017-24,,,4.0
2017-25,,,6.0
2017-26,,,5.0
2017-28,,,4.0
2017-29,,,2.0
2017-30,,,8.0
2017-31,,,2.0
2017-32,,,2.0
2017-33,,,1.0
2017-38,,,1.0
2017-42,,,3.0
2017-43,,,3.0
2017-44,,,2.0
2017-46,3.0,,
2017-48,,,2.0
2017-49,,,1.0
2017-50,,,1.0
2017-52,,,2.0
2018-01,,,3.0
2018-02,,,2.0
2018-04,,,1.0
2018-05,,,3.0
2018-06,,,4.0
2018-07,,,15.0
2018-09,,,1.0
2018-10,,,4.0
2018-11,,,2.0
2018-12,,,2.0
2018-14,,,6.0
2018-15,,,2.0
2018-16,,,4.0
2018-17,,,3.0
2018-18,,,2.0
2018-19,,,2.0
2018-20,,,10.0
2018-21,,,12.0
2018-22,,,3.0
2018-23,,,2.0
2018-24,,,3.0
2018-25,,,2.0
2018-26,,,3.0
2018-27,,,10.0
2018-28,,,19.0
2018-29,,,5.0
2018-30,,,8.0
2018-31,,,4.0
2018-32,,,3.0
