,,text,text,text,text,text,text
source,,Media Studio,Twitter Ads,Twitter Web Client,Twitter for Android,Twitter for iPad,Twitter for iPhone
year,week,,,,,,
2017,3,,,,,,
2017,4,,,,,,
2017,5,,,,2.0,,
2017,6,,,,3.0,,1.0
2017,7,,,,,,
2017,8,,,,,,
2017,9,,,,,,
2017,10,,,,,,
2017,11,,,,,,
2017,12,,,,,,2.0
2017,13,,,,,,
2017,14,,,,,,
2017,15,,,,,,1.0
2017,16,,,,,,1.0
2017,17,,,,,,
2017,18,,,,,,
2017,19,,,,,,
2017,20,,,,,,1.0
2017,21,,,,,,3.0
2017,22,,,,,,1.0
2017,23,,,,,,2.0
2017,24,,,,,,
2017,25,,,,,,
2017,26,,,,,,
2017,27,1.0,,,,,
2017,28,,,,,,1.0
2017,29,,,,,,1.0
2017,30,,,,,,
2017,31,,,,,,
2017,32,,,,,,
2017,33,,,,,,4.0
2017,34,,,,,,
2017,35,,,,,,1.0
2017,36,,,,,,
2017,37,,,,,,3.0
2017,38,,,,,,1.0
2017,39,1.0,,,,,
2017,40,,,,,,1.0
2017,41,,,,,,
2017,42,,,,,,1.0
2017,43,,,,,,
2017,44,1.0,,,,,5.0
2017,45,,,,,,
2017,46,,,1.0,,,
2017,47,,,,,,2.0
2017,48,,,,,,2.0
2017,49,,,,,,
2017,50,,,,,,
2017,51,,,,,,
2017,52,,,,,,1.0
2017,53,,,,,,2.0
2018,1,,,,,,
2018,2,,,,,,1.0
2018,3,,,,,,
2018,4,,,,,,
2018,5,,,,,,
2018,6,,,,,,
2018,7,,,,,,
2018,8,,,,,,
2018,9,,,,,,
2018,10,,,,,,
2018,11,,,,,,
2018,12,,,,,,2.0
2018,13,,,,,,
2018,14,,,,,,
2018,15,,,,,,
2018,16,,,,,,
2018,17,,,,,,
2018,18,,,,,,3.0
2018,19,,,,,,1.0
2018,20,,,,,,
2018,21,,,,,,
2018,22,,,,,,
2018,23,,,,,,
2018,24,,,,,,
2018,25,,,,,,
2018,26,,,,,,
2018,27,,,,,,
2018,28,,,,,,1.0
2018,29,,,,,,
2018,30,,,,,,
2018,31,,,,,,
2018,32,,,,,,1.0
