,text,text
source,Twitter for Android,Twitter for iPhone
year_week,,
2017-09,1.0,
2017-13,,1.0
2017-19,,1.0
2017-20,,1.0
2017-22,,1.0
2017-24,,3.0
2017-25,,1.0
2017-26,,1.0
2017-28,,1.0
2017-30,,5.0
2017-44,,1.0
2017-49,,2.0
2018-01,,1.0
2018-04,,1.0
2018-07,,1.0
2018-08,,1.0
2018-11,,2.0
2018-14,,1.0
2018-15,,3.0
2018-16,,4.0
2018-17,,5.0
2018-18,,3.0
2018-19,,3.0
2018-20,,5.0
2018-21,,7.0
2018-22,,7.0
2018-23,,4.0
2018-24,,9.0
2018-25,,5.0
2018-26,,4.0
2018-27,,3.0
2018-28,,4.0
2018-29,,7.0
2018-30,,5.0
2018-31,,4.0
2018-32,,3.0
