,Frequency,Word Encoded
0,322,b'&amp;'
1,263,b'great'
2,162,"b""'"""
3,130,b'!'
4,130,b'-'
5,109,b'fake'
6,108,b'.'
7,101,b'thank'
8,97,b'u..'
9,95,b'news'
10,94,b'big'
11,93,"b','"
12,81,b'president'
13,81,b'american'
14,79,b'people'
15,74,b'trump'
16,74,b'new'
17,68,b'media'
18,66,b'america'
19,65,b'many'
20,61,b'make'
21,59,b'get'
22,55,b'would'
23,52,b'must'
24,51,b'jobs'
25,50,b'democrats'
26,49,b'today'
27,48,b'much'
28,48,b'honor'
29,47,b'never'
30,46,b'back'
31,46,b'@foxandfriends:'
32,46,b'obamacare'
33,44,b'united'
34,44,b'time'
35,44,b'even'
36,43,b'north'
37,43,b'going'
38,42,b'country'
39,40,b'working'
40,40,b'obama'
41,40,b'tax'
42,40,b'meeting'
43,39,b'made'
44,39,b'healthcare'
45,38,"b'""'"
46,37,b'like'
47,37,b'want'
48,37,b'republican'
49,36,b'one'
50,36,b'bad'
51,36,b'republicans'
52,36,b'day'
53,36,b'first'
54,36,b'dems'
55,36,b'house'
56,35,b'...'
57,34,b'@realdonaldtrump'
58,34,b'good'
59,34,b'w/'
60,34,b'election'
61,33,b'white'
62,33,b'national'
63,33,b'russia'
64,32,b'('
65,32,b'looking'
66,31,b'...'
67,31,b'welcome'
68,31,b'said'
69,30,b'security'
70,30,b'look'
71,29,b'states'
72,29,b'last'
73,29,b'state'
74,29,b'women'
75,29,b'forward'
76,28,"b'today,'"
77,27,b'military'
78,27,b'see'
79,27,b'hard'
80,27,"b'jobs,'"
81,27,b'congratulations'
82,27,b'us'
83,27,b'failing'
84,26,b'job'
85,26,b'ever'
86,26,b'join'
87,26,b'vote'
88,25,b'happy'
89,25,b'korea'
90,25,b'deal'
91,25,b'years'
92,25,b'border'
93,25,b'hillary'
94,25,b'clinton'
95,25,b'prime'
96,25,b'minister'
97,25,b'....'
98,25,b'coming'
99,25,b'full'
100,25,b'@foxandfriends'
101,25,b'russian'
102,24,b'long'
103,24,b'order'
104,24,b'wonderful'
105,24,b'story'
106,23,b'getting'
107,23,b'general'
108,23,b'help'
109,23,b'things'
110,23,b'china'
111,23,b'senate'
112,22,b'way'
113,22,b'nothing'
114,22,b'trade'
115,22,b'since'
116,21,b'go'
117,21,b'administration'
118,21,b'need'
119,21,b'win'
120,21,b'repeal'
121,21,b'year'
122,20,b'far'
123,20,b'?'
124,20,b'better'
125,20,b'men'
126,20,b'come'
127,20,b'totally'
128,19,b'today.'
129,19,b'give'
130,19,b'business'
131,19,b'@whitehouse'
132,19,b':'
133,19,b'keep'
134,19,b'enjoy!'
135,18,b'bill'
136,18,b'believe'
137,18,b'work'
138,18,b'ready'
139,18,b'put'
140,18,b'got'
141,18,b'p..'
142,18,b'live'
143,18,b'together'
144,18,b'two'
145,18,b'jobs!'
146,18,b'@nytimes'
147,18,b'illegal'
148,17,b'strong'
149,17,b'really'
150,17,b'real'
151,17,b'major'
152,17,b'right'
153,17,b'tonight'
154,17,b'including'
155,17,b'say'
156,17,b'phony'
157,17,b'healthcare.'
158,16,b'stock'
159,16,b'melania'
160,16,b'plan'
161,16,b'mexico'
162,16,b'.c.'
163,16,b'could'
164,16,b'companies'
165,16,b'john'
166,16,b'..'
167,16,b'take'
168,16,b'stop'
169,16,b'total'
170,16,b'witch'
171,16,b'let'
172,15,b'making'
173,15,b'night'
174,15,b'market'
175,15,b'another'
176,15,b'love'
177,15,b'massive'
178,15,b'watch'
179,15,b'james'
180,15,b'beautiful'
181,15,b'report'
182,15,b'taking'
183,15,b'senators'
184,15,b'fbi'
185,15,b'interviewed'
186,14,b'know'
187,14,b'donald'
188,14,b'korea.'
189,14,b'support'
190,14,b'every'
191,14,b'people.'
192,14,b'brave'
193,14,b'hurricane'
194,14,b'news!'
195,14,b'everyone'
196,14,b'texas'
197,14,b'proud'
198,14,b'leaders'
199,14,b'economic'
200,14,b'talk'
201,14,b'comey'
202,14,b'best'
203,14,b'washington'
204,14,b'well'
205,14,b'next'
206,14,b'always'
207,13,b'travel'
208,13,b'meetings'
209,13,b'record'
210,13,b'use'
211,13,b'lost'
212,13,b'replace'
213,13,b'7'
214,13,b'world'
215,13,b'press'
216,13,b'dishonest'
217,13,b'campaign'
218,13,b'political'
219,13,b'executive'
220,12,b'ban'
221,12,b'billion'
222,12,b'amazing'
223,12,b'spoke'
224,12,b'nations'
225,12,b'prayers'
226,12,b'@flotus'
227,12,b'allowed'
228,12,b'months'
229,12,b'continue'
230,12,b'cuts'
231,12,b'soon'
232,12,b'@potus'
233,12,"b'years,'"
234,12,b'incredible'
235,12,b'week'
236,12,b'level'
237,12,b'gave'
238,12,b'signed'
239,12,b'#maga'
240,12,b'senator'
241,12,b'wrong'
242,12,b'insurance'
243,12,b'care'
244,12,b'intelligence'
245,12,b'despite'
246,11,b'true'
247,11,b'south'
248,11,b'country.'
249,11,b'attack'
250,11,b'money'
251,11,b'ask'
252,11,b'allow'
253,11,b'control'
254,11,b'high'
255,11,b'stand'
256,11,"b'together,'"
257,11,b'show'
258,11,b'#usa'
259,11,b'congress'
260,11,b'future'
261,11,b'presidential'
262,11,b'still'
263,11,b'talking'
264,11,b'law'
265,11,b'morning'
266,11,b'secretary'
267,11,b'honored'
268,11,b'remember'
269,11,b'act'
270,11,b'heading'
271,11,"b'washington,'"
272,11,b'finally'
273,11,"b'country,'"
274,11,b'call'
275,11,b'protect'
276,11,b'dnc'
277,11,b'@foxnews'
278,10,b'#maga'
279,10,b'fantastic'
280,10,b'better!'
281,10,b'heroes'
282,10,b'information'
283,10,b'already'
284,10,b'reform'
285,10,b'meet'
286,10,b'anyone'
287,10,b'thoughts'
288,10,b'federal'
289,10,b'government'
290,10,b'start'
